hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1215.95,1607.17,1220.94,1554.52,1710.6499999999999,1569.31,1797.96
8,1639.31,1615.56,863.39,713.4300000000001,1849.0,2110.7,1318.3899999999999
9,2058.31,2294.76,1891.52,1644.76,1617.3,3025.71,2466.19
10,2679.56,2357.86,2283.4,1659.91,1395.1,1522.75,1795.3
11,3454.17,2408.7799999999997,1588.33,1704.05,2123.6,2129.41,2157.42
12,2284.05,1999.57,2363.41,1525.17,2796.95,1455.32,2128.38
13,2356.04,2002.14,3163.01,2845.8,2048.63,2294.8,2836.92
14,2294.11,2492.09,2253.02,2349.04,2089.77,687.29,2070.1
15,2313.36,2362.0,1812.53,2327.17,2484.1,1011.86,3962.14
16,3049.48,1803.58,1799.19,1910.4,2621.22,2423.71,2015.8500000000001
17,2378.68,2119.2400000000002,2231.67,1466.19,1547.89,1895.75,2230.81
18,1520.7,1327.31,1780.1,1320.68,2456.91,2143.0099999999998,1315.75
19,2030.8400000000001,1820.93,1399.22,2155.91,1825.5900000000001,1665.14,1859.32
20,1759.22,1666.27,2294.19,1787.74,1196.37,1840.08,1824.82
21,2114.49,1197.54,2055.64,1832.82,2148.48,2032.0,2793.76
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
